Potential applied (V)	WE(1).Current (A)	V vs. RHE	j
		V	mA/cm\+(2)
-0.7025146484375	-1.0382080078125E-6	0.323573034301758	-0.0091552734375
-0.7049560546875	-2.11517333984375E-6	0.321139597595215	-0.0186523222208444
-0.7073974609375	-3.0120849609375E-6	0.318704828491211	-0.026561595775463
-0.7098388671875	-3.7689208984375E-6	0.316269022827148	-0.033235634025022
-0.7122802734375	-4.5013427734375E-6	0.313833036499023	-0.0396943807181437
-0.7147216796875	-5.17578125E-6	0.31139662109375	-0.0456418099647266
-0.7171630859375	-5.6427001953125E-6	0.308958670043945	-0.0497592609815917
-0.7196044921875	-6.280517578125E-6	0.306521983642578	-0.0553837528935185
-0.7220458984375	-6.671142578125E-6	0.304083468017578	-0.0588284177965168
-0.7244873046875	-7.32421875E-6	0.30164689453125	-0.0645874669312169
-0.7269287109375	-7.77587890625E-6	0.299208830566406	-0.0685703607253087
-0.7293701171875	-8.111572265625E-6	0.296769908447265	-0.0715306196263227
-0.7318115234375	-8.55712890625E-6	0.294331799316406	-0.0754596905313051
-0.7342529296875	-9.027099609375E-6	0.291893870849609	-0.0796040529927249
-0.7366943359375	-9.2987060546875E-6	0.289454474487305	-0.0819991715580908
-0.7391357421875	-9.7503662109375E-6	0.287016410522461	-0.0859820653521825
-0.7415771484375	-1.00616455078125E-5	0.284577307739258	-0.0887270326967593
-0.7440185546875	-1.03851318359375E-5	0.282138295288086	-0.0915796458195547
-0.7464599609375	-1.06292724609375E-5	0.279698695678711	-0.0937325613839286
-0.7489013671875	-1.09405517578125E-5	0.277259592895508	-0.0964775287285053
-0.7513427734375	-1.1181640625E-5	0.274819970703125	-0.0986035328483245
-0.7537841796875	-1.15478515625E-5	0.272381274414062	-0.101832906194885
-0.7562255859375	-1.1859130859375E-5	0.269942171630859	-0.104577873539462
-0.7586669921875	-1.19354248046875E-5	0.267501329956055	-0.105250659653329
-0.7611083984375	-1.22314453125E-5	0.265062114257812	-0.107861069775132
-0.7635498046875	-1.25732421875E-5	0.262623237304687	-0.110875151565256
-0.7659912109375	-1.27716064453125E-5	0.260183298950195	-0.11262439546131
-0.7684326171875	-1.29852294921875E-5	0.257743473510742	-0.114508196580137
-0.7708740234375	-1.31988525390625E-5	0.255303648071289	-0.116391997698964
-0.7733154296875	-1.3446044921875E-5	0.252864071044922	-0.118571824707892
-0.7757568359375	-1.3629150390625E-5	0.250424019775391	-0.120186511381173
-0.7781982421875	-1.3787841796875E-5	0.247983787841797	-0.121585906498016
-0.7806396484375	-1.4093017578125E-5	0.245544639892578	-0.124277050953483
-0.7830810546875	-1.414794921875E-5	0.243103640136719	-0.124761456955467
-0.7855224609375	-1.44989013671875E-5	0.240664830932617	-0.127856273079255
-0.7879638671875	-1.4642333984375E-5	0.238224486083984	-0.129121110973325
-0.7904052734375	-1.4813232421875E-5	0.235784344482422	-0.130628151868386
-0.7928466796875	-1.5020751953125E-5	0.233344473876953	-0.132458130098104
-0.7952880859375	-1.527099609375E-5	0.230904919433594	-0.134664868551587
-0.7977294921875	-1.53564453125E-5	0.228464145507812	-0.135418388999118
-0.8001708984375	-1.5618896484375E-5	0.226024681396484	-0.13773277323082
-0.8026123046875	-1.57257080078125E-5	0.223584065551758	-0.138674673790234
-0.8050537109375	-1.59393310546875E-5	0.221144240112305	-0.140558474909061
-0.8074951171875	-1.60888671875E-5	0.218703940429687	-0.14187713569224
-0.8099365234375	-1.62811279296875E-5	0.21626395690918	-0.143572556699184
-0.8123779296875	-1.64703369140625E-5	0.213823950805664	-0.145241066261574
-0.8148193359375	-1.66961669921875E-5	0.211384215698242	-0.14723251315862
-0.8172607421875	-1.68487548828125E-5	0.208943938598633	-0.148578085386354
-0.8197021484375	-1.69342041015625E-5	0.206503164672851	-0.149331605833884
-0.8221435546875	-1.7218017578125E-5	0.204063858642578	-0.151834370177469
-0.8245849609375	-1.73095703125E-5	0.201623129882812	-0.152641713514109
-0.8270263671875	-1.744384765625E-5	0.199182717285156	-0.153825817074515
-0.8294677734375	-1.76727294921875E-5	0.196743004760742	-0.155844175416116
-0.8319091796875	-1.78497314453125E-5	0.194302908325195	-0.157405039200287
-0.8343505859375	-1.790771484375E-5	0.191861931152344	-0.157916356646825
-0.8367919921875	-1.80816650390625E-5	0.189421812133789	-0.159450308986442
-0.8392333984375	-1.82037353515625E-5	0.186981309204101	-0.160526766768629
-0.8416748046875	-1.8328857421875E-5	0.184540828857422	-0.16163013599537
-0.8441162109375	-1.85577392578125E-5	0.182101116333008	-0.163648494336971
-0.8465576171875	-1.8609619140625E-5	0.179660093994141	-0.1641059888944
-0.8489990234375	-1.87713623046875E-5	0.177219884643555	-0.165532295455798
-0.8514404296875	-1.89453125E-5	0.174779765625	-0.167066247795414
-0.8538818359375	-1.9134521484375E-5	0.172339759521484	-0.168734757357804
-0.8563232421875	-1.9287109375E-5	0.169899482421875	-0.170080329585538
-0.8587646484375	-1.94366455078125E-5	0.167459182739258	-0.171398990368717
-0.8612060546875	-1.95098876953125E-5	0.165018318481445	-0.172044865038029
-0.8636474609375	-1.97357177734375E-5	0.162578583374023	-0.174036311935075
-0.8660888671875	-1.97998046875E-5	0.160137651367187	-0.174601452270723
-0.8685302734375	-1.9970703125E-5	0.157697509765625	-0.176108493165785
-0.8709716796875	-2.015380859375E-5	0.155257458496094	-0.177723179839065
-0.8734130859375	-2.01995849609375E-5	0.152816390991211	-0.178126851507385
-0.8758544921875	-2.04376220703125E-5	0.15037674621582	-0.18022594418265
-0.8782958984375	-2.0587158203125E-5	0.147936446533203	-0.181544604965829
-0.8807373046875	-2.06817626953125E-5	0.145495740356445	-0.182378859747024
-0.8831787109375	-2.086181640625E-5	0.143055666503906	-0.18396663497575
-0.8856201171875	-2.0941162109375E-5	0.140614847412109	-0.184666332534171
-0.8880615234375	-2.10693359375E-5	0.138174389648437	-0.185796613205467
