Potential applied (V)	Time (s)	WE(1).Current (A)	WE(1).Potential (V)
0.00244140625	71.7651428188104	3.07037353515625E-07	0.002947998046875
0.0048828125	71.7895428187488	4.69573974609375E-07	0.00537719726562499
0.00732421875	71.8139428186872	6.3134765625E-07	0.00781860351562499
0.009765625	71.8383428186256	7.91015625E-07	0.01021728515625
0.01220703125	71.862742818564	8.99658203125E-07	0.012677001953125
0.0146484375	71.8871428185024	9.7412109375E-07	0.0151153564453125
0.01708984375	71.9115428184408	1.0675048828125E-06	0.0175384521484375
0.01953125	71.9359428183792	1.18316650390625E-06	0.0199432373046875
0.02197265625	71.9603428183176	1.2811279296875E-06	0.0223968505859375
0.0244140625	71.984742818256	1.35009765625E-06	0.02489013671875
0.02685546875	72.0091428181944	1.4068603515625E-06	0.02733154296875
0.029296875	72.0335428181328	1.48834228515625E-06	0.0297210693359375
0.03173828125	72.0579428180712	1.5899658203125E-06	0.0321807861328125
0.0341796875	72.0823428180096	1.66107177734375E-06	0.0346343994140625
0.03662109375	72.106742817948	1.6986083984375E-06	0.037066650390625
0.0390625	72.1311428178864	1.75567626953125E-06	0.039483642578125
0.04150390625	72.1555428178248	1.851806640625E-06	0.041973876953125
0.0439453125	72.1799428177632	1.93939208984375E-06	0.0444091796875
0.04638671875	72.2043428177016	1.97418212890625E-06	0.0468658447265625
0.048828125	72.22874281764	2.00592041015625E-06	0.049560546875
0.05126953125	72.2531428175784	2.0751953125E-06	0.05206298828125
0.0537109375	72.2775428175167	2.1600341796875E-06	0.054443359375
0.05615234375	72.3019428174551	2.22625732421875E-06	0.056884765625
0.05859375	72.3263428173935	2.242431640625E-06	0.059356689453125
0.06103515625	72.3507428173319	2.2894287109375E-06	0.061798095703125
0.0634765625	72.3751428172703	2.36846923828125E-06	0.06427001953125
0.06591796875	72.3995428172087	2.44354248046875E-06	0.06671142578125
0.068359375	72.4239428171471	2.4853515625E-06	0.069061279296875
0.07080078125	72.4483428170855	2.5018310546875E-06	0.071685791015625
0.0732421875	72.4727428170239	2.56256103515625E-06	0.07403564453125
0.07568359375	72.4971428169623	2.6470947265625E-06	0.076507568359375
0.078125	72.5215428169007	2.70965576171875E-06	0.079010009765625
0.08056640625	72.5459428168391	2.7392578125E-06	0.0814208984375
0.0830078125	72.5703428167775	2.7734375E-06	0.083892822265625
0.08544921875	72.5947428167159	2.83966064453125E-06	0.086334228515625
0.087890625	72.6191428166543	2.92755126953125E-06	0.08880615234375
0.09033203125	72.6435428165927	2.96478271484375E-06	0.091217041015625
0.0927734375	72.6679428165311	2.98492431640625E-06	0.09375
0.09521484375	72.6923428164695	3.03131103515625E-06	0.09619140625
0.09765625	72.7167428164079	3.116455078125E-06	0.09857177734375
0.10009765625	72.7411428163463	3.177490234375E-06	0.100982666015625
0.1025390625	72.7655428162847	3.21014404296875E-06	0.103485107421875
0.10498046875	72.7899428162231	3.2373046875E-06	0.10589599609375
0.107421875	72.8143428161615	3.31146240234375E-06	0.108306884765625
0.10986328125	72.8387428160999	3.3966064453125E-06	0.11083984375
0.1123046875	72.8631428160382	3.446044921875E-06	0.113311767578125
0.11474609375	72.8875428159766	3.460693359375E-06	0.11572265625
0.1171875	72.911942815915	3.511962890625E-06	0.118133544921875
0.11962890625	72.9363428158534	3.58978271484375E-06	0.120697021484375
0.1220703125	72.9607428157918	3.66729736328125E-06	0.12310791015625
0.12451171875	72.9851428157302	3.695068359375E-06	0.125518798828125
0.126953125	73.0095428156686	3.736572265625E-06	0.128021240234375
0.12939453125	73.033942815607	3.7982177734375E-06	0.130462646484375
0.1318359375	73.0583428155454	3.88458251953125E-06	0.132904052734375
0.13427734375	73.0827428154838	3.93707275390625E-06	0.13543701171875
0.13671875	73.1071428154222	3.94775390625E-06	0.1378173828125
0.13916015625	73.1315428153606	4.0045166015625E-06	0.14019775390625
0.1416015625	73.155942815299	4.09637451171875E-06	0.14263916015625
0.14404296875	73.1803428152374	4.17083740234375E-06	0.1451416015625
0.146484375	73.2047428151758	4.20013427734375E-06	0.147674560546875
0.14892578125	73.2291428151142	4.23431396484375E-06	0.15008544921875
0.1513671875	73.2535428150526	4.30328369140625E-06	0.152587890625
0.15380859375	73.277942814991	4.39483642578125E-06	0.154998779296875
0.15625	73.3023428149294	4.46136474609375E-06	0.157440185546875
0.15869140625	73.3267428148678	4.4952392578125E-06	0.159912109375
0.1611328125	73.3511428148062	4.5379638671875E-06	0.16241455078125
0.16357421875	73.3755428147446	4.61822509765625E-06	0.164947509765625
0.166015625	73.399942814683	4.71405029296875E-06	0.167236328125
0.16845703125	73.4243428146214	4.7564697265625E-06	0.169769287109375
0.1708984375	73.4487428145598	4.78851318359375E-06	0.172210693359375
0.17333984375	73.4731428144981	4.85443115234375E-06	0.174713134765625
0.17578125	73.4975428144365	4.94598388671875E-06	0.177093505859375
0.17822265625	73.5219428143749	5.01678466796875E-06	0.179473876953125
0.1806640625	73.5463428143133	5.06683349609375E-06	0.181976318359375
0.18310546875	73.5707428142517	5.11260986328125E-06	0.184417724609375
0.185546875	73.5951428141901	5.18951416015625E-06	0.186859130859375
0.18798828125	73.6195428141285	5.27923583984375E-06	0.189361572265625
0.1904296875	73.6439428140669	5.3485107421875E-06	0.19171142578125
0.19287109375	73.6683428140053	5.37628173828125E-06	0.194244384765625
0.1953125	73.6927428139437	5.4486083984375E-06	0.1966552734375
0.19775390625	73.7171428138821	5.55633544921875E-06	0.19915771484375
0.2001953125	73.7415428138205	5.63079833984375E-06	0.20166015625
0.20263671875	73.7659428137589	5.67474365234375E-06	0.204193115234375
0.205078125	73.7903428136973	5.72296142578125E-06	0.20648193359375
0.20751953125	73.8147428136357	5.8148193359375E-06	0.208984375
0.2099609375	73.8391428135741	5.92315673828125E-06	0.2115478515625
0.21240234375	73.8635428135125	5.98602294921875E-06	0.213836669921875
0.21484375	73.8879428134509	6.0308837890625E-06	0.216339111328125
0.21728515625	73.9123428133893	6.1065673828125E-06	0.217864990234375
0.2197265625	73.9367428133277	6.2225341796875E-06	0.220306396484375
0.22216796875	73.9611428132661	6.317138671875E-06	0.222747802734375
0.224609375	73.9855428132045	6.3629150390625E-06	0.225189208984375
0.22705078125	74.0099428131429	6.4117431640625E-06	0.227630615234375
0.2294921875	74.0343428130813	6.5155029296875E-06	0.230010986328125
0.23193359375	74.0587428130196	6.62841796875E-06	0.232513427734375
0.234375	74.083142812958	6.7138671875E-06	0.23492431640625
0.23681640625	74.1075428128964	6.756591796875E-06	0.237396240234375
0.2392578125	74.1319428128348	6.8359375E-06	0.2398681640625
0.24169921875	74.1563428127732	6.9488525390625E-06	0.2423095703125
0.244140625	74.1807428127116	7.0556640625E-06	0.24468994140625
0.24658203125	74.20514281265	7.12890625E-06	0.2471923828125
0.2490234375	74.2295428125884	7.183837890625E-06	0.2496337890625
0.25146484375	74.2539428125268	7.2845458984375E-06	0.25213623046875
0.25390625	74.2783428124652	7.403564453125E-06	0.2545166015625
0.25634765625	74.3027428124036	7.5042724609375E-06	0.256927490234375
0.2587890625	74.327142812342	7.574462890625E-06	0.2593994140625
0.26123046875	74.3515428122804	7.6446533203125E-06	0.2618408203125
0.263671875	74.3759428122188	7.7667236328125E-06	0.264251708984375
0.26611328125	74.4003428121572	7.891845703125E-06	0.266632080078125
0.2685546875	74.4247428120956	7.965087890625E-06	0.2691650390625
0.27099609375	74.449142812034	8.0291748046875E-06	0.2716064453125
0.2734375	74.4735428119724	8.1390380859375E-06	0.2740478515625
0.27587890625	74.4979428119108	8.2794189453125E-06	0.2764892578125
0.2783203125	74.5223428118492	8.392333984375E-06	0.278900146484375
0.28076171875	74.5467428117876	8.4625244140625E-06	0.281463623046875
0.283203125	74.571142811726	8.551025390625E-06	0.283843994140625
0.28564453125	74.5955428116644	8.6761474609375E-06	0.28631591796875
0.2880859375	74.6199428116028	8.8165283203125E-06	0.288726806640625
0.29052734375	74.6443428115412	8.9141845703125E-06	0.291168212890625
0.29296875	74.6687428114795	8.978271484375E-06	0.2935791015625
0.29541015625	74.6931428114179	9.088134765625E-06	0.296051025390625
0.2978515625	74.7175428113563	9.2529296875E-06	0.298492431640625
0.30029296875	74.7419428112947	9.3902587890625E-06	0.300994873046875
0.302734375	74.7663428112331	9.4635009765625E-06	0.303375244140625
0.30517578125	74.7907428111715	9.5672607421875E-06	0.305816650390625
0.3076171875	74.8151428111099	9.7015380859375E-06	0.308258056640625
0.31005859375	74.8395428110483	9.8480224609375E-06	0.310760498046875
0.3125	74.8639428109867	9.97314453125E-06	0.313140869140625
0.31494140625	74.8883428109251	1.00677490234375E-05	0.315643310546875
0.3173828125	74.9127428108635	1.01837158203125E-05	0.31805419921875
0.31982421875	74.9371428108019	1.03424072265625E-05	0.320465087890625
0.322265625	74.9615428107403	1.0491943359375E-05	0.322967529296875
0.32470703125	74.9859428106787	1.05926513671875E-05	0.32537841796875
0.3271484375	75.0103428106171	1.0687255859375E-05	0.327880859375
0.32958984375	75.0347428105555	1.08428955078125E-05	0.330322265625
0.33203125	75.0591428104939	1.10015869140625E-05	0.332733154296875
0.33447265625	75.0835428104323	1.1138916015625E-05	0.3350830078125
0.3369140625	75.1079428103707	1.12518310546875E-05	0.337646484375
0.33935546875	75.1323428103091	1.13739013671875E-05	0.340087890625
0.341796875	75.1567428102475	1.15264892578125E-05	0.342498779296875
0.34423828125	75.1811428101859	1.16943359375E-05	0.345001220703125
0.3466796875	75.2055428101243	1.1822509765625E-05	0.347381591796875
0.34912109375	75.2299428100627	1.19384765625E-05	0.349822998046875
0.3515625	75.254342810001	1.20819091796875E-05	0.352264404296875
0.35400390625	75.2787428099394	1.22711181640625E-05	0.354736328125
0.3564453125	75.3031428098778	1.24237060546875E-05	0.357208251953125
0.35888671875	75.3275428098162	1.2530517578125E-05	0.359619140625
0.361328125	75.3519428097546	1.2664794921875E-05	0.362060546875
0.36376953125	75.376342809693	1.28387451171875E-05	0.364532470703125
0.3662109375	75.4007428096314	1.3018798828125E-05	0.366943359375
0.36865234375	75.4251428095698	1.31500244140625E-05	0.369415283203125
0.37109375	75.4495428095082	1.32568359375E-05	0.371856689453125
0.37353515625	75.4739428094466	1.34185791015625E-05	0.374298095703125
0.3759765625	75.498342809385	1.361083984375E-05	0.376708984375
0.37841796875	75.5227428093234	1.37908935546875E-05	0.37921142578125
0.380859375	75.5471428092618	1.38946533203125E-05	0.381561279296875
0.38330078125	75.5715428092002	1.40350341796875E-05	0.384002685546875
0.3857421875	75.5959428091386	1.42059326171875E-05	0.386566162109375
