Potential applied (V)	WE(1).Current (A)	V vs. RHE	j
		V	mA/cm\+(2)
-0.7025146484375	1.70745849609375E-5	0.323446341705322	0.150569532283399
-0.7049560546875	1.55487060546875E-5	0.321015570831299	0.137113810006063
-0.7073974609375	1.41082763671875E-5	0.318584204376221	0.124411608176257
-0.7098388671875	1.29241943359375E-5	0.316151051177978	0.113969967689043
-0.7122802734375	1.17645263671875E-5	0.313717727813721	0.103743618758267
-0.7147216796875	1.065673828125E-5	0.31128404284668	0.0939747643849206
-0.7171630859375	9.8785400390625E-6	0.308848060638428	0.0871123460234788
-0.7196044921875	9.02099609375E-6	0.306412631469726	0.0795502301036155
-0.7220458984375	8.0902099609375E-6	0.303977712799072	0.07134223951444
-0.7244873046875	7.4188232421875E-6	0.301540986114502	0.0654217217124118
-0.7269287109375	6.7108154296875E-6	0.299104514678955	0.0591782665757275
-0.7293701171875	6.0638427734375E-6	0.296667617828369	0.0534730403301367
-0.7318115234375	5.4656982421875E-6	0.294230380645752	0.0481983971974206
-0.7342529296875	4.8614501953125E-6	0.291793186004639	0.0428699311755952
-0.7366943359375	4.26025390625E-6	0.289355970092773	0.0375683765983245
-0.7391357421875	3.6468505859375E-6	0.286918839263916	0.0321591762428351
-0.7415771484375	3.0914306640625E-6	0.284481304290771	0.0272612933338845
-0.7440185546875	2.5518798828125E-6	0.282043658709717	0.0225033499366182
-0.7464599609375	2.0953369140625E-6	0.279605434564209	0.018477397831239
-0.7489013671875	1.67510986328125E-6	0.277166957296753	0.0147716919160604
-0.7513427734375	1.26495361328125E-6	0.274728409835815	0.0111547937679123
-0.7537841796875	6.8878173828125E-7	0.272291019503784	0.00607391303598986
-0.7562255859375	2.69775390625E-7	0.269852533728027	0.00237897169863316
-0.7586669921875	-6.40869140625E-9	0.267413052481079	-5.65140335648148E-5
-0.7611083984375	-4.0130615234375E-7	0.264974398666382	-0.00353885495893959
-0.7635498046875	-8.65478515625E-7	0.262536227697754	-0.00763208567570547
-0.7659912109375	-1.10626220703125E-6	0.260096499710083	-0.00975539865106922
-0.7684326171875	-1.59759521484375E-6	0.257658518051147	-0.0140881412243717
-0.7708740234375	-1.93023681640625E-6	0.25521943031311	-0.0170214886808311
-0.7733154296875	-2.2760009765625E-6	0.252780434039307	-0.0200705553488757
-0.7757568359375	-2.55096435546875E-6	0.250340944284058	-0.0224952765032518
-0.7781982421875	-2.9754638671875E-6	0.247902496795654	-0.0262386584408069
-0.7806396484375	-3.338623046875E-6	0.245463621765137	-0.029441120342813
-0.7830810546875	-3.582763671875E-6	0.243023917175293	-0.031594035907187
-0.7855224609375	-3.8238525390625E-6	0.240584191314697	-0.0337200400270062
-0.7879638671875	-4.1900634765625E-6	0.238145337554932	-0.036949413373567
-0.7904052734375	-4.461669921875E-6	0.235705824401855	-0.039344531938933
-0.7928466796875	-4.7607421875E-6	0.233266502685547	-0.041981853505291
-0.7952880859375	-5.0506591796875E-6	0.230827117156982	-0.044538440737985
-0.7977294921875	-5.2001953125E-6	0.228386753173828	-0.045857101521164
-0.8001708984375	-5.548095703125E-6	0.225947771789551	-0.0489250062003968
-0.8026123046875	-5.828857421875E-6	0.22350832244873	-0.0514008590994268
-0.8050537109375	-5.987548828125E-6	0.221068022277832	-0.0528002542162698
-0.8074951171875	-6.2347412109375E-6	0.21862833895874	-0.0549800812251984
-0.8099365234375	-6.4666748046875E-6	0.216188549285889	-0.0570253510113536
-0.8123779296875	-6.8206787109375E-6	0.213749610443115	-0.0601470785796958
-0.8148193359375	-7.0892333984375E-6	0.211310076019287	-0.0625152857005071
-0.8172607421875	-7.2296142578125E-6	0.208869648223877	-0.063753212150022
-0.8197021484375	-7.4798583984375E-6	0.206429986175537	-0.0659599506035053
-0.8221435546875	-7.7056884765625E-6	0.203990153961181	-0.0679513975005512
-0.8245849609375	-7.9193115234375E-6	0.201550236663818	-0.0698351986193783
-0.8270263671875	-8.31298828125E-6	0.19911157434082	-0.0733067749669312
-0.8294677734375	-8.3587646484375E-6	0.196670487152099	-0.0737104466352513
-0.8319091796875	-8.7310791015625E-6	0.194231675933838	-0.0769936428709215
-0.8343505859375	-8.941650390625E-6	0.191791737365723	-0.078850532545194
-0.8367919921875	-9.02099609375E-6	0.189350884155273	-0.0795502301036155
-0.8392333984375	-9.2559814453125E-6	0.186911115753174	-0.0816224113343254
-0.8416748046875	-9.356689453125E-6	0.184470411437988	-0.0825104890046296
-0.8441162109375	-9.6435546875E-6	0.182031004638672	-0.085040164792769
-0.8465576171875	-9.7869873046875E-6	0.179590598114014	-0.0863050026868386
-0.8489990234375	-1.005859375E-5	0.177151084960937	-0.0887001212522046
-0.8514404296875	-1.02752685546875E-5	0.174711188934326	-0.0906108338155864
-0.8538818359375	-1.04766845703125E-5	0.172271186553955	-0.0923869891561949
-0.8563232421875	-1.0614013671875E-5	0.169830737487793	-0.0935980041611552
-0.8587646484375	-1.0821533203125E-5	0.167390777648926	-0.095427982390873
-0.8612060546875	-1.1065673828125E-5	0.164951073059082	-0.0975808979552469
-0.8636474609375	-1.1273193359375E-5	0.162511113220215	-0.0994108761849647
-0.8660888671875	-1.1407470703125E-5	0.160070642883301	-0.10059497974537
-0.8685302734375	-1.163330078125E-5	0.157630810668945	-0.102586426642416
-0.8709716796875	-1.17950439453125E-5	0.155190531768799	-0.104012733203814
-0.8734130859375	-1.19171142578125E-5	0.152749976348877	-0.105089190986001
-0.8758544921875	-1.2237548828125E-5	0.150310803527832	-0.107914892664242
-0.8782958984375	-1.22222900390625E-5	0.147869290924072	-0.107780335441468
-0.8807373046875	-1.24267578125E-5	0.145429309814453	-0.109583402226631
-0.8831787109375	-1.2603759765625E-5	0.142989137268066	-0.111144266010802
-0.8856201171875	-1.280517578125E-5	0.140549134887695	-0.112920421351411
-0.8880615234375	-1.29302978515625E-5	0.138108600738525	-0.114023790578153
-0.8905029296875	-1.3104248046875E-5	0.135668406921387	-0.115557742917769
-0.8929443359375	-1.33453369140625E-5	0.133228681060791	-0.117683747037588
-0.8953857421875	-1.3568115234375E-5	0.130788827575683	-0.119648282490079
-0.8978271484375	-1.36322021484375E-5	0.128347868011474	-0.120213422825728
-0.9002685546875	-1.3897705078125E-5	0.125908312316894	-0.122554718501984
-0.9027099609375	-1.39862060546875E-5	0.123467522918701	-0.12333515039407
-0.9051513671875	-1.40655517578125E-5	0.121026669708252	-0.124034847952491
-0.9075927734375	-1.4398193359375E-5	0.118587581970215	-0.126968195408951
-0.9100341796875	-1.4483642578125E-5	0.116146771301269	-0.127721715856481
-0.9124755859375	-1.466064453125E-5	0.113706598754883	-0.129282579640653
-0.9149169921875	-1.48406982421875E-5	0.111266447479248	-0.130870354869378
-0.9173583984375	-1.495361328125E-5	0.10882582824707	-0.131866078317901
-0.9197998046875	-1.51336669921875E-5	0.106385676971435	-0.133453853546627
-0.9222412109375	-1.53167724609375E-5	0.103945546966553	-0.135068540219907
-0.9246826171875	-1.5374755859375E-5	0.10150454486084	-0.135579857666446
-0.9271240234375	-1.55548095703125E-5	0.0990643935852049	-0.137167632895172
-0.9295654296875	-1.5814208984375E-5	0.0966247953491209	-0.139455105682319
-0.9320068359375	-1.5887451171875E-5	0.0941838995971679	-0.140100980351631
-0.9344482421875	-1.6143798828125E-5	0.0917442800903319	-0.142361541694224
-0.9368896484375	-1.61895751953125E-5	0.0893031929016113	-0.142765213362544
-0.9393310546875	-1.62506103515625E-5	0.0868622120666502	-0.143303442253638
-0.9417724609375	-1.65008544921875E-5	0.0844225500183104	-0.145510180707121
-0.9442138671875	-1.6595458984375E-5	0.081981803161621	-0.146344435488316
-0.9466552734375	-1.666259765625E-5	0.0795408648681639	-0.146936487268519
-0.9490966796875	-1.69342041015625E-5	0.0771013517150878	-0.149331605833884
-0.9515380859375	-1.69891357421875E-5	0.0746603283386229	-0.149816011835869
-0.9539794921875	-1.717529296875E-5	0.0722202196044921	-0.151457609953704
-0.9564208984375	-1.7303466796875E-5	0.0697797067260741	-0.152587890625
-0.9588623046875	-1.75140380859375E-5	0.0673397681579588	-0.154444780299272
-0.9613037109375	-1.763916015625E-5	0.0648992340087889	-0.155548149526014
-0.9637451171875	-1.7724609375E-5	0.0624584233398436	-0.156301669973545
-0.9661865234375	-1.77978515625E-5	0.0600175275878905	-0.156947544642857
-0.9686279296875	-1.78497314453125E-5	0.0575764829406737	-0.157405039200287
-0.9710693359375	-1.807861328125E-5	0.0551366719970702	-0.159423397541887
-0.9735107421875	-1.81365966796875E-5	0.0526956698913573	-0.159934714988426
-0.9759521484375	-1.82403564453125E-5	0.0502549868469238	-0.160849704103285
-0.9783935546875	-1.8414306640625E-5	0.0478147930297851	-0.162383656442901
-0.9808349609375	-1.8603515625E-5	0.0453747055664061	-0.164052166005291
-0.9832763671875	-1.88629150390625E-5	0.0429351073303221	-0.166339638792438
-0.9857177734375	-1.888427734375E-5	0.0404938499755858	-0.166528018904321
-0.9881591796875	-1.89727783203125E-5	0.0380530605773924	-0.167308450796407
-0.9906005859375	-1.91192626953125E-5	0.0356126753234862	-0.168600200135031
-0.9930419921875	-1.917724609375E-5	0.0331716732177734	-0.16911151758157
-0.9954833984375	-1.9366455078125E-5	0.0307315857543944	-0.170780027143959
-0.9979248046875	-1.94732666015625E-5	0.0282909239807128	-0.171721927703373
-1.0003662109375	-1.9561767578125E-5	0.0258501345825195	-0.172502359595459
-1.0028076171875	-1.97235107421875E-5	0.023409855682373	-0.173928666156856
