Time (s)	WE(1).Potential (V)
18.704309	-0.0295013427734375
18.9542869	-0.0294952392578125
19.2042798	-0.0294891357421875
19.4542668	-0.029486083984375
19.7042352	-0.02947998046875
19.9542214	-0.029473876953125
20.2042021	-0.0294677734375
20.4541826	-0.0294586181640625
20.7041685	-0.0294525146484375
20.9541492	-0.029449462890625
21.2041313	-0.029443359375
21.4541359	-0.029437255859375
21.7041179	-0.0294342041015625
21.9540822	-0.0294281005859375
22.2040626	-0.0294219970703125
22.4540465	-0.0294189453125
22.7040285	-0.029412841796875
22.9540135	-0.0294097900390625
23.2039949	-0.0294036865234375
23.453978	-0.0293975830078125
23.70396	-0.02939453125
23.9539625	-0.0293914794921875
24.2039246	-0.029388427734375
24.4539255	-0.0293853759765625
24.7038921	-0.0293792724609375
24.9538742	-0.0293792724609375
25.2038569	-0.0293731689453125
25.4538393	-0.0293701171875
25.7038244	-0.0293670654296875
25.953804	-0.029364013671875
26.2037862	-0.029364013671875
26.4537691	-0.02935791015625
26.7037765	-0.0293548583984375
26.9538173	-0.0293548583984375
27.2037173	-0.029351806640625
27.4537251	-0.0293487548828125
27.7036845	-0.029345703125
27.9536655	-0.0293426513671875
28.2036495	-0.0293426513671875
28.453633	-0.0293426513671875
28.7036144	-0.029339599609375
28.9535967	-0.0293365478515625
29.2036133	-0.0293365478515625
29.453585	-0.02933349609375
29.7035452	-0.0293304443359375
29.9535287	-0.0293304443359375
30.2035115	-0.0293304443359375
30.4534932	-0.029327392578125
30.7034775	-0.029327392578125
30.9534623	-0.0293243408203125
31.2034438	-0.0293243408203125
31.4534242	-0.0293212890625
31.7034067	-0.0293212890625
31.9533929	-0.0293212890625
32.2033949	-0.0293182373046875
32.4533584	-0.0293182373046875
32.7033388	-0.0293182373046875
32.9533217	-0.0293182373046875
33.2033055	-0.029315185546875
33.4532871	-0.029315185546875
33.7032707	-0.029315185546875
33.9532533	-0.029315185546875
34.2032347	-0.029315185546875
34.4532177	-0.0293121337890625
34.7031997	-0.029315185546875
34.9531839	-0.029315185546875
35.2031671	-0.029315185546875
35.45315	-0.029315185546875
35.7031322	-0.029315185546875
35.9531138	-0.029315185546875
36.2030973	-0.0293121337890625
36.4530797	-0.029315185546875
36.7030632	-0.029315185546875
36.9530452	-0.029315185546875
37.2030299	-0.029315185546875
37.4530108	-0.0293121337890625
37.703016	-0.029315185546875
37.9529784	-0.029315185546875
38.2029594	-0.029315185546875
38.4529426	-0.029315185546875
38.702925	-0.029315185546875
38.9529098	-0.029315185546875
39.2028899	-0.0293182373046875
39.4528749	-0.0293182373046875
39.7028566	-0.0293182373046875
39.9528385	-0.0293182373046875
40.2028215	-0.0293182373046875
40.4528266	-0.0293182373046875
40.7028115	-0.0293212890625
40.9527703	-0.0293212890625
41.2027541	-0.0293212890625
41.4527376	-0.0293212890625
41.702718	-0.0293243408203125
41.952701	-0.0293243408203125
42.2026833	-0.029327392578125
42.4526702	-0.029327392578125
42.7026491	-0.0293304443359375
42.9526335	-0.0293304443359375
43.2026174	-0.02933349609375
43.4525975	-0.02933349609375
43.7025816	-0.02933349609375
43.9525639	-0.0293365478515625
44.2025472	-0.0293365478515625
44.4525309	-0.029339599609375
44.7025123	-0.029339599609375
44.9524935	-0.029339599609375
45.2024766	-0.0293426513671875
45.4524596	-0.0293426513671875
45.7024442	-0.029345703125
45.952425	-0.029345703125
46.2024084	-0.0293487548828125
46.4523919	-0.029351806640625
46.702374	-0.029351806640625
46.9523558	-0.029351806640625
47.2023416	-0.0293548583984375
47.4523224	-0.02935791015625
47.7023046	-0.02935791015625
47.9522886	-0.0293609619140625
48.2022719	-0.0293609619140625
48.4522542	-0.029364013671875
48.7022356	-0.029364013671875
48.9522186	-0.0293670654296875
49.2022013	-0.0293701171875
49.4521845	-0.0293701171875
49.702167	-0.0293731689453125
49.9521506	-0.0293731689453125
50.2021326	-0.029376220703125
50.4521162	-0.0293792724609375
50.7020977	-0.02938232421875
50.9521023	-0.02938232421875
51.2020864	-0.0293853759765625
51.4520461	-0.029388427734375
51.7020336	-0.0293914794921875
51.9520138	-0.0293914794921875
52.201995	-0.02939453125
52.4519773	-0.0293975830078125
52.7019615	-0.029400634765625
52.9519426	-0.029400634765625
53.2019261	-0.0294036865234375
53.4519113	-0.02940673828125
53.7019093	-0.02940673828125
53.9518795	-0.0294097900390625
54.2018565	-0.029412841796875
54.4518394	-0.0294158935546875
54.7018224	-0.0294189453125
54.9518075	-0.0294219970703125
55.2017883	-0.029425048828125
55.4517706	-0.0294281005859375
55.7017579	-0.0294281005859375
55.9517598	-0.02943115234375
56.2017215	-0.0294342041015625
56.4517253	-0.029437255859375
56.7017072	-0.029437255859375
56.9516666	-0.0294403076171875
57.2016492	-0.029443359375
57.4516317	-0.029443359375
57.7016166	-0.029449462890625
57.9515975	-0.029449462890625
58.2015813	-0.0294525146484375
58.4515648	-0.02945556640625
58.7015468	-0.0294586181640625
58.9515291	-0.029461669921875
59.2015163	-0.0294647216796875
59.4514938	-0.0294677734375
59.7014766	-0.0294677734375
59.9514823	-0.0294708251953125
