Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)
0.102386474609375	0.10272216796875	6.74438476562497E-06
0.104827880859375	0.105224609375	6.80541992187506E-06
0.107269287109375	0.107666015625	6.80541992187506E-06
0.109710693359375	0.110137939453125	6.866455078125E-06
0.112152099609375	0.112518310546875	2.74658203125028E-08
0.114593505859375	0.114959716796875	5.79833984375028E-08
0.117034912109375	0.117401123046875	8.85009765625028E-08
0.119476318359375	0.119873046875	1.19018554687503E-07
0.121917724609375	0.122344970703125	1.43432617187494E-07
0.124359130859375	0.124755859375	1.83715820312499E-07
0.126800537109375	0.127227783203125	2.044677734375E-07
0.129241943359375	0.129730224609375	2.28271484375001E-07
0.131683349609375	0.13214111328125	2.46276855468749E-07
0.134124755859375	0.134552001953125	2.66418457031251E-07
0.136566162109375	0.13702392578125	3.3294677734375E-07
0.139007568359375	0.139434814453125	3.521728515625E-07
0.141448974609375	0.141876220703125	3.6773681640625E-07
0.143890380859375	0.14434814453125	3.8543701171875E-07
0.146331787109375	0.14678955078125	4.0191650390625E-07
0.148773193359375	0.149261474609375	4.144287109375E-07
0.151214599609375	0.151611328125	4.327392578125E-07
0.153656005859375	0.1541748046875	4.4586181640625E-07
0.156097412109375	0.156646728515625	4.6234130859375E-07
0.158538818359375	0.159088134765625	4.7607421875E-07
0.160980224609375	0.16241455078125	4.903564453125E-07
0.163421630859375	0.16461181640625	5.06256103515625E-07
0.165863037109375	0.16717529296875	5.17486572265625E-07
0.168304443359375	0.16961669921875	5.31341552734375E-07
0.170745849609375	0.172119140625	5.4498291015625E-07
0.173187255859375	0.174652099609375	5.56121826171875E-07
0.175628662109375	0.177093505859375	5.6585693359375E-07
0.178070068359375	0.179595947265625	5.76507568359375E-07
0.180511474609375	0.181854248046875	5.899658203125E-07
0.182952880859375	0.1844482421875	6.02081298828125E-07
0.185394287109375	0.185943603515625	6.1309814453125E-07
0.187835693359375	0.188446044921875	6.23779296875E-07
0.190277099609375	0.190826416015625	6.3934326171875E-07
0.192718505859375	0.1932373046875	6.5155029296875E-07
0.195159912109375	0.19561767578125	6.6436767578125E-07
0.197601318359375	0.198150634765625	6.744384765625E-07
0.200042724609375	0.200592041015625	6.890869140625E-07
0.202484130859375	0.203094482421875	7.0281982421875E-07
0.204925537109375	0.205535888671875	7.1533203125E-07
0.207366943359375	0.207916259765625	7.2784423828125E-07
0.209808349609375	0.210357666015625	7.4188232421875E-07
0.212249755859375	0.212799072265625	7.55615234375E-07
0.214691162109375	0.215362548828125	7.684326171875E-07
0.217132568359375	0.21771240234375	7.818603515625E-07
0.219573974609375	0.2200927734375	7.9681396484375E-07
0.222015380859375	0.222625732421875	8.1207275390625E-07
0.224456787109375	0.22509765625	8.270263671875E-07
0.226898193359375	0.227447509765625	8.4075927734375E-07
0.229339599609375	0.22991943359375	8.5540771484375E-07
0.231781005859375	0.232391357421875	8.709716796875E-07
0.234222412109375	0.234771728515625	8.8623046875E-07
0.236663818359375	0.237274169921875	9.02099609375E-07
0.239105224609375	0.23980712890625	9.197998046875E-07
0.241546630859375	0.242218017578125	9.381103515625E-07
0.243988037109375	0.24462890625	9.5428466796875E-07
0.246429443359375	0.2470703125	9.7198486328125E-07
0.248870849609375	0.249542236328125	9.881591796875E-07
0.251312255859375	0.251922607421875	1.00494384765625E-06
0.253753662109375	0.25445556640625	1.0247802734375E-06
0.256195068359375	0.2568359375	1.0418701171875E-06
0.258636474609375	0.259246826171875	1.06109619140625E-06
0.261077880859375	0.261749267578125	1.08306884765625E-06
0.263519287109375	0.26416015625	1.09954833984375E-06
0.265960693359375	0.266571044921875	1.12060546875E-06
0.268402099609375	0.269012451171875	1.13983154296875E-06
0.270843505859375	0.271514892578125	1.15997314453125E-06
0.273284912109375	0.273895263671875	1.18438720703125E-06
0.275726318359375	0.276397705078125	1.20513916015625E-06
0.278167724609375	0.27886962890625	1.23016357421875E-06
0.280609130859375	0.28131103515625	1.2518310546875E-06
0.283050537109375	0.283782958984375	1.27471923828125E-06
0.285491943359375	0.28619384765625	1.29791259765625E-06
0.287933349609375	0.288665771484375	1.32080078125E-06
0.290374755859375	0.29107666015625	1.34368896484375E-06
0.292816162109375	0.293548583984375	1.37054443359375E-06
0.295257568359375	0.29595947265625	1.39251708984375E-06
0.297698974609375	0.298431396484375	1.4166259765625E-06
0.300140380859375	0.3009033203125	1.4453125E-06
0.302581787109375	0.303375244140625	1.4697265625E-06
0.305023193359375	0.305755615234375	1.49658203125E-06
0.307464599609375	0.3082275390625	1.5234375E-06
0.309906005859375	0.310638427734375	1.55364990234375E-06
0.312347412109375	0.313140869140625	1.58050537109375E-06
0.314788818359375	0.315521240234375	1.6094970703125E-06
0.317230224609375	0.31805419921875	1.64154052734375E-06
0.319671630859375	0.3204345703125	1.6693115234375E-06
0.322113037109375	0.322845458984375	1.700439453125E-06
0.324554443359375	0.325347900390625	1.729736328125E-06
0.326995849609375	0.327850341796875	1.75994873046875E-06
0.329437255859375	0.330291748046875	1.7926025390625E-06
0.331878662109375	0.332672119140625	1.82342529296875E-06
0.334320068359375	0.3350830078125	1.85394287109375E-06
0.336761474609375	0.337554931640625	1.888427734375E-06
0.339202880859375	0.340087890625	1.9219970703125E-06
0.341644287109375	0.342498779296875	1.954345703125E-06
0.344085693359375	0.344940185546875	1.9854736328125E-06
0.346527099609375	0.347412109375	2.02056884765625E-06
0.348968505859375	0.349853515625	2.05352783203125E-06
0.351409912109375	0.352264404296875	2.088623046875E-06
0.353851318359375	0.354766845703125	2.12310791015625E-06
0.356292724609375	0.357147216796875	2.15728759765625E-06
0.358734130859375	0.35968017578125	2.1942138671875E-06
0.361175537109375	0.362060546875	2.2308349609375E-06
0.363616943359375	0.364501953125	2.26715087890625E-06
0.366058349609375	0.366973876953125	2.30621337890625E-06
0.368499755859375	0.369415283203125	2.3419189453125E-06
0.370941162109375	0.371917724609375	2.37548828125E-06
0.373382568359375	0.37432861328125	2.410888671875E-06
0.375823974609375	0.37677001953125	2.447509765625E-06
0.378265380859375	0.379241943359375	2.48809814453125E-06
0.380706787109375	0.381622314453125	2.52532958984375E-06
0.383148193359375	0.384124755859375	2.55950927734375E-06
0.385589599609375	0.38653564453125	2.5958251953125E-06
0.388031005859375	0.38897705078125	2.63275146484375E-06
0.390472412109375	0.391448974609375	2.6708984375E-06
0.392913818359375	0.3939208984375	2.708740234375E-06
0.395355224609375	0.39630126953125	2.7459716796875E-06
0.397796630859375	0.398834228515625	2.783203125E-06
0.400238037109375	0.401275634765625	2.82196044921875E-06
0.402679443359375	0.4036865234375	2.85980224609375E-06
0.405120849609375	0.406158447265625	2.89398193359375E-06
0.407562255859375	0.408660888671875	2.9302978515625E-06
0.410003662109375	0.4111328125	2.9681396484375E-06
0.412445068359375	0.413482666015625	3.00262451171875E-06
0.414886474609375	0.415863037109375	3.03924560546875E-06
0.417327880859375	0.41839599609375	3.074951171875E-06
0.419769287109375	0.420806884765625	3.111572265625E-06
0.422210693359375	0.4232177734375	3.14849853515625E-06
0.424652099609375	0.42578125	3.1829833984375E-06
0.427093505859375	0.428192138671875	3.221435546875E-06
0.429534912109375	0.43060302734375	3.25531005859375E-06
0.431976318359375	0.433074951171875	3.29193115234375E-06
0.434417724609375	0.435546875	3.3331298828125E-06
0.436859130859375	0.438018798828125	3.3673095703125E-06
0.439300537109375	0.4404296875	3.40728759765625E-06
0.441741943359375	0.442840576171875	3.44512939453125E-06
0.444183349609375	0.445404052734375	3.4814453125E-06
0.446624755859375	0.447845458984375	3.52081298828125E-06
0.449066162109375	0.450225830078125	3.5595703125E-06
0.451507568359375	0.452728271484375	3.59405517578125E-06
0.453948974609375	0.455047607421875	3.63555908203125E-06
0.456390380859375	0.457550048828125	3.677978515625E-06
0.458831787109375	0.460113525390625	3.71795654296875E-06
0.461273193359375	0.46246337890625	3.753662109375E-06
0.463714599609375	0.464874267578125	3.79913330078125E-06
0.466156005859375	0.467437744140625	3.83880615234375E-06
0.468597412109375	0.469696044921875	3.88763427734375E-06
0.471038818359375	0.47222900390625	3.935546875E-06
0.473480224609375	0.4747314453125	3.9801025390625E-06
0.475921630859375	0.477203369140625	4.027099609375E-06
0.478363037109375	0.4796142578125	4.07379150390625E-06
0.480804443359375	0.482086181640625	4.12322998046875E-06
0.483245849609375	0.484527587890625	4.17236328125E-06
0.485687255859375	0.487030029296875	4.22821044921875E-06
0.488128662109375	0.48944091796875	4.28436279296875E-06
0.490570068359375	0.491912841796875	4.3365478515625E-06
0.493011474609375	0.494293212890625	4.39666748046875E-06
0.495452880859375	0.49676513671875	4.4622802734375E-06
0.497894287109375	0.49932861328125	4.52301025390625E-06
0.500335693359375	0.501678466796875	4.58984375E-06
0.502777099609375	0.504150390625	4.66217041015625E-06
0.505218505859375	0.506500244140625	4.73663330078125E-06
0.507659912109375	0.509002685546875	4.814453125E-06
0.510101318359375	0.511505126953125	4.90203857421875E-06
0.512542724609375	0.513885498046875	4.99755859375E-06
0.514984130859375	0.516387939453125	5.09307861328125E-06
0.517425537109375	0.5189208984375	5.20294189453125E-06
0.519866943359375	0.5213623046875	5.31341552734375E-06
0.522308349609375	0.5238037109375	5.4364013671875E-06
0.524749755859375	0.5262451171875	5.5743408203125E-06
0.527191162109375	0.52874755859375	5.71533203125E-06
0.529632568359375	0.531158447265625	5.86944580078125E-06
0.532073974609375	0.53369140625	6.04156494140625E-06
0.534515380859375	0.535308837890625	6.243896484375E-06
0.536956787109375	0.537689208984375	6.4453125E-06
0.539398193359375	0.54010009765625	6.6650390625E-06
0.541839599609375	0.54254150390625	6.9183349609375E-06
0.544281005859375	0.54498291015625	7.1868896484375E-06
0.546722412109375	0.547454833984375	7.4951171875E-06
0.549163818359375	0.54986572265625	7.82470703125E-06
0.551605224609375	0.552337646484375	8.19091796875E-06
0.554046630859375	0.5548095703125	8.5845947265625E-06
0.556488037109375	0.5572509765625	9.02099609375E-06
0.558929443359375	0.559722900390625	9.4970703125E-06
0.561370849609375	0.562225341796875	1.00311279296875E-05
0.563812255859375	0.564666748046875	1.05987548828125E-05
0.566253662109375	0.567138671875	1.12213134765625E-05
0.568695068359375	0.56951904296875	1.18927001953125E-05
0.571136474609375	0.571929931640625	1.2646484375E-05
0.573577880859375	0.574432373046875	1.3482666015625E-05
0.576019287109375	0.576812744140625	1.4385986328125E-05
0.578460693359375	0.57928466796875	1.5350341796875E-05
0.580902099609375	0.581787109375	1.64306640625E-05
0.583343505859375	0.58428955078125	1.76116943359375E-05
0.585784912109375	0.586700439453125	1.8902587890625E-05
0.588226318359375	0.5892333984375	2.0318603515625E-05
0.590667724609375	0.59173583984375	2.1868896484375E-05
0.593109130859375	0.594146728515625	2.3553466796875E-05
0.595550537109375	0.5966796875	2.5390625E-05
0.597991943359375	0.59912109375	2.7374267578125E-05
0.600433349609375	0.6015625	2.9559326171875E-05
0.602874755859375	0.604034423828125	3.19244384765625E-05
0.605316162109375	0.606597900390625	3.4527587890625E-05
0.607757568359375	0.6090087890625	3.72833251953125E-05
0.610198974609375	0.611480712890625	4.03594970703125E-05
0.612640380859375	0.614044189453125	4.37591552734375E-05
0.615081787109375	0.616546630859375	4.7412109375E-05
0.617523193359375	0.618988037109375	5.1300048828125E-05
0.619964599609375	0.621551513671875	5.56060791015625E-05
0.622406005859375	0.624053955078125	6.02996826171875E-05
0.624847412109375	0.6256103515625	6.536865234375E-05
0.627288818359375	0.628021240234375	7.09228515625E-05
0.629730224609375	0.630523681640625	7.6934814453125E-05
0.632171630859375	0.633026123046875	8.3404541015625E-05
0.634613037109375	0.63543701171875	9.033203125E-05
0.637054443359375	0.63787841796875	9.783935546875E-05
0.639495849609375	0.640411376953125	0.00010589599609375
0.641937255859375	0.642852783203125	0.000114532470703125
0.644378662109375	0.645233154296875	0.000123779296875
0.646820068359375	0.647735595703125	0.000133453369140625
0.649261474609375	0.650115966796875	0.00014398193359375
0.651702880859375	0.65264892578125	0.00015521240234375
0.654144287109375	0.65521240234375	0.0001671142578125
0.656585693359375	0.65753173828125	0.00017938232421875
0.659027099609375	0.660003662109375	0.000192657470703125
0.661468505859375	0.662384033203125	0.000205291748046875
0.663909912109375	0.664947509765625	0.0002198486328125
0.666351318359375	0.6673583984375	0.00023577880859375
0.668792724609375	0.669921875	0.000252197265625
0.671234130859375	0.672393798828125	0.000269195556640625
0.673675537109375	0.674896240234375	0.0002869873046875
0.676116943359375	0.677337646484375	0.000305572509765625
0.678558349609375	0.679779052734375	0.000324981689453125
0.680999755859375	0.682281494140625	0.000345123291015625
0.683441162109375	0.68475341796875	0.000366058349609375
0.685882568359375	0.68719482421875	0.000387603759765625
0.688323974609375	0.689666748046875	0.0004102783203125
0.690765380859375	0.69219970703125	0.000434234619140625
0.693206787109375	0.6947021484375	0.00045849609375
0.695648193359375	0.696441650390625	0.0004835205078125
