Potential (V),Current (A)
0.102386474609375,7.11059570312506e-06
0.104827880859375,7.08007812499994e-06
0.107269287109375,7.11059570312506e-06
0.109710693359375,7.14111328125003e-06
0.112152099609375,3.87573242187494e-07
0.114593505859375,4.24194335937503e-07
0.117034912109375,4.57763671875e-07
0.119476318359375,4.91333007812497e-07
0.121917724609375,5.15747070312503e-07
0.124359130859375,5.59387207031251e-07
0.126800537109375,5.859375e-07
0.129241943359375,6.0699462890625e-07
0.131683349609375,6.35681152343751e-07
0.134124755859375,6.56738281249999e-07
0.136566162109375,6.976318359375e-07
0.139007568359375,7.159423828125e-07
0.141448974609375,7.366943359375e-07
0.143890380859375,7.5775146484375e-07
0.146331787109375,7.763671875e-07
0.148773193359375,7.9254150390625e-07
0.151214599609375,8.0230712890625e-07
0.153656005859375,8.28857421875e-07
0.156097412109375,8.447265625e-07
0.158538818359375,8.6273193359375e-07
0.160980224609375,8.7310791015625e-07
0.163421630859375,8.88671875e-07
0.165863037109375,9.0972900390625e-07
0.168304443359375,9.27734375e-07
0.170745849609375,9.417724609375e-07
0.173187255859375,9.5672607421875e-07
0.175628662109375,9.6466064453125e-07
0.178070068359375,9.77783203125e-07
0.180511474609375,9.99755859375e-07
0.182952880859375,1.01470947265625e-06
0.185394287109375,1.02935791015625e-06
0.187835693359375,1.0357666015625e-06
0.190277099609375,1.0516357421875e-06
0.192718505859375,1.07452392578125e-06
0.195159912109375,1.08978271484375e-06
0.197601318359375,1.1053466796875e-06
0.200042724609375,1.114501953125e-06
0.202484130859375,1.13037109375e-06
0.204925537109375,1.146240234375e-06
0.207366943359375,1.16790771484375e-06
0.209808349609375,1.18316650390625e-06
0.212249755859375,1.19842529296875e-06
0.214691162109375,1.2109375e-06
0.217132568359375,1.2255859375e-06
0.219573974609375,1.2432861328125e-06
0.222015380859375,1.26220703125e-06
0.224456787109375,1.28021240234375e-06
0.226898193359375,1.29638671875e-06
0.229339599609375,1.31591796875e-06
0.231781005859375,1.33392333984375e-06
0.234222412109375,1.35345458984375e-06
0.236663818359375,1.37603759765625e-06
0.239105224609375,1.39556884765625e-06
0.241546630859375,1.41693115234375e-06
0.243988037109375,1.4361572265625e-06
0.246429443359375,1.46209716796875e-06
0.248870849609375,1.48345947265625e-06
0.251312255859375,1.5045166015625e-06
0.253753662109375,1.53106689453125e-06
0.256195068359375,1.55426025390625e-06
0.258636474609375,1.5777587890625e-06
0.261077880859375,1.60369873046875e-06
0.263519287109375,1.63177490234375e-06
0.265960693359375,1.65618896484375e-06
0.268402099609375,1.6839599609375e-06
0.270843505859375,1.7120361328125e-06
0.273284912109375,1.73980712890625e-06
0.275726318359375,1.76971435546875e-06
0.278167724609375,1.8017578125e-06
0.280609130859375,1.8341064453125e-06
0.283050537109375,1.86614990234375e-06
0.285491943359375,1.9000244140625e-06
0.287933349609375,1.9329833984375e-06
0.290374755859375,1.97509765625e-06
0.292816162109375,2.01019287109375e-06
0.295257568359375,2.04345703125e-06
0.297698974609375,2.081298828125e-06
0.300140380859375,2.122802734375e-06
0.302581787109375,2.1551513671875e-06
0.305023193359375,2.19329833984375e-06
0.307464599609375,2.235107421875e-06
0.309906005859375,2.2821044921875e-06
