Potential (V),Current (A)
0.102386474609375,6.74438476562497e-06
0.104827880859375,6.80541992187506e-06
0.107269287109375,6.80541992187506e-06
0.109710693359375,6.866455078125e-06
0.112152099609375,2.74658203125028e-08
0.114593505859375,5.79833984375028e-08
0.117034912109375,8.85009765625028e-08
0.119476318359375,1.19018554687503e-07
0.121917724609375,1.43432617187494e-07
0.124359130859375,1.83715820312499e-07
0.126800537109375,2.044677734375e-07
0.129241943359375,2.28271484375001e-07
0.131683349609375,2.46276855468749e-07
0.134124755859375,2.66418457031251e-07
0.136566162109375,3.3294677734375e-07
0.139007568359375,3.521728515625e-07
0.141448974609375,3.6773681640625e-07
0.143890380859375,3.8543701171875e-07
0.146331787109375,4.0191650390625e-07
0.148773193359375,4.144287109375e-07
0.151214599609375,4.327392578125e-07
0.153656005859375,4.4586181640625e-07
0.156097412109375,4.6234130859375e-07
0.158538818359375,4.7607421875e-07
0.160980224609375,4.903564453125e-07
0.163421630859375,5.06256103515625e-07
0.165863037109375,5.17486572265625e-07
0.168304443359375,5.31341552734375e-07
0.170745849609375,5.4498291015625e-07
0.173187255859375,5.56121826171875e-07
0.175628662109375,5.6585693359375e-07
0.178070068359375,5.76507568359375e-07
0.180511474609375,5.899658203125e-07
0.182952880859375,6.02081298828125e-07
0.185394287109375,6.1309814453125e-07
0.187835693359375,6.23779296875e-07
0.190277099609375,6.3934326171875e-07
0.192718505859375,6.5155029296875e-07
0.195159912109375,6.6436767578125e-07
0.197601318359375,6.744384765625e-07
0.200042724609375,6.890869140625e-07
0.202484130859375,7.0281982421875e-07
0.204925537109375,7.1533203125e-07
0.207366943359375,7.2784423828125e-07
0.209808349609375,7.4188232421875e-07
0.212249755859375,7.55615234375e-07
0.214691162109375,7.684326171875e-07
0.217132568359375,7.818603515625e-07
0.219573974609375,7.9681396484375e-07
0.222015380859375,8.1207275390625e-07
0.224456787109375,8.270263671875e-07
0.226898193359375,8.4075927734375e-07
0.229339599609375,8.5540771484375e-07
0.231781005859375,8.709716796875e-07
0.234222412109375,8.8623046875e-07
0.236663818359375,9.02099609375e-07
0.239105224609375,9.197998046875e-07
0.241546630859375,9.381103515625e-07
0.243988037109375,9.5428466796875e-07
0.246429443359375,9.7198486328125e-07
0.248870849609375,9.881591796875e-07
0.251312255859375,1.00494384765625e-06
0.253753662109375,1.0247802734375e-06
0.256195068359375,1.0418701171875e-06
0.258636474609375,1.06109619140625e-06
0.261077880859375,1.08306884765625e-06
0.263519287109375,1.09954833984375e-06
0.265960693359375,1.12060546875e-06
0.268402099609375,1.13983154296875e-06
0.270843505859375,1.15997314453125e-06
0.273284912109375,1.18438720703125e-06
0.275726318359375,1.20513916015625e-06
0.278167724609375,1.23016357421875e-06
0.280609130859375,1.2518310546875e-06
0.283050537109375,1.27471923828125e-06
0.285491943359375,1.29791259765625e-06
0.287933349609375,1.32080078125e-06
0.290374755859375,1.34368896484375e-06
0.292816162109375,1.37054443359375e-06
0.295257568359375,1.39251708984375e-06
0.297698974609375,1.4166259765625e-06
0.300140380859375,1.4453125e-06
0.302581787109375,1.4697265625e-06
0.305023193359375,1.49658203125e-06
0.307464599609375,1.5234375e-06
0.309906005859375,1.55364990234375e-06
0.312347412109375,1.58050537109375e-06
0.314788818359375,1.6094970703125e-06
0.317230224609375,1.64154052734375e-06
0.319671630859375,1.6693115234375e-06
0.322113037109375,1.700439453125e-06
0.324554443359375,1.729736328125e-06
0.326995849609375,1.75994873046875e-06
0.329437255859375,1.7926025390625e-06
0.331878662109375,1.82342529296875e-06
0.334320068359375,1.85394287109375e-06
0.336761474609375,1.888427734375e-06
0.339202880859375,1.9219970703125e-06
0.341644287109375,1.954345703125e-06
0.344085693359375,1.9854736328125e-06
0.346527099609375,2.02056884765625e-06
0.348968505859375,2.05352783203125e-06
0.351409912109375,2.088623046875e-06
0.353851318359375,2.12310791015625e-06
0.356292724609375,2.15728759765625e-06
0.358734130859375,2.1942138671875e-06
0.361175537109375,2.2308349609375e-06
0.363616943359375,2.26715087890625e-06
0.366058349609375,2.30621337890625e-06
0.368499755859375,2.3419189453125e-06
0.370941162109375,2.37548828125e-06
0.373382568359375,2.410888671875e-06
0.375823974609375,2.447509765625e-06
0.378265380859375,2.48809814453125e-06
0.380706787109375,2.52532958984375e-06
0.383148193359375,2.55950927734375e-06
0.385589599609375,2.5958251953125e-06
0.388031005859375,2.63275146484375e-06
0.390472412109375,2.6708984375e-06
0.392913818359375,2.708740234375e-06
0.395355224609375,2.7459716796875e-06
0.397796630859375,2.783203125e-06
0.400238037109375,2.82196044921875e-06
0.402679443359375,2.85980224609375e-06
0.405120849609375,2.89398193359375e-06
0.407562255859375,2.9302978515625e-06
0.410003662109375,2.9681396484375e-06
0.412445068359375,3.00262451171875e-06
0.414886474609375,3.03924560546875e-06
0.417327880859375,3.074951171875e-06
0.419769287109375,3.111572265625e-06
0.422210693359375,3.14849853515625e-06
0.424652099609375,3.1829833984375e-06
0.427093505859375,3.221435546875e-06
0.429534912109375,3.25531005859375e-06
0.431976318359375,3.29193115234375e-06
0.434417724609375,3.3331298828125e-06
0.436859130859375,3.3673095703125e-06
0.439300537109375,3.40728759765625e-06
0.441741943359375,3.44512939453125e-06
0.444183349609375,3.4814453125e-06
0.446624755859375,3.52081298828125e-06
0.449066162109375,3.5595703125e-06
0.451507568359375,3.59405517578125e-06
0.453948974609375,3.63555908203125e-06
0.456390380859375,3.677978515625e-06
0.458831787109375,3.71795654296875e-06
0.461273193359375,3.753662109375e-06
0.463714599609375,3.79913330078125e-06
0.466156005859375,3.83880615234375e-06
0.468597412109375,3.88763427734375e-06
0.471038818359375,3.935546875e-06
0.473480224609375,3.9801025390625e-06
0.475921630859375,4.027099609375e-06
0.478363037109375,4.07379150390625e-06
0.480804443359375,4.12322998046875e-06
0.483245849609375,4.17236328125e-06
0.485687255859375,4.22821044921875e-06
0.488128662109375,4.28436279296875e-06
0.490570068359375,4.3365478515625e-06
0.493011474609375,4.39666748046875e-06
0.495452880859375,4.4622802734375e-06
0.497894287109375,4.52301025390625e-06
0.500335693359375,4.58984375e-06
0.502777099609375,4.66217041015625e-06
0.505218505859375,4.73663330078125e-06
0.507659912109375,4.814453125e-06
0.510101318359375,4.90203857421875e-06
0.512542724609375,4.99755859375e-06
0.514984130859375,5.09307861328125e-06
0.517425537109375,5.20294189453125e-06
0.519866943359375,5.31341552734375e-06
