Potential (V),Current (A)
0.102386474609375,7.29370117187503e-06
0.104827880859375,7.38525390624994e-06
0.107269287109375,7.53784179687494e-06
0.109710693359375,7.53784179687494e-06
0.112152099609375,2.01416015624997e-07
0.114593505859375,2.44140625e-07
0.117034912109375,2.86865234375003e-07
0.119476318359375,3.23486328124997e-07
0.121917724609375,3.60107421875006e-07
0.124359130859375,4.04052734375e-07
0.126800537109375,4.32434082031249e-07
0.129241943359375,4.61730957031251e-07
0.131683349609375,4.8736572265625e-07
0.134124755859375,5.11779785156249e-07
0.136566162109375,5.828857421875e-07
0.139007568359375,6.0394287109375e-07
0.141448974609375,6.2530517578125e-07
0.143890380859375,6.4849853515625e-07
0.146331787109375,6.6558837890625e-07
0.148773193359375,6.8328857421875e-07
0.151214599609375,7.0037841796875e-07
0.153656005859375,7.18994140625e-07
0.156097412109375,7.373046875e-07
0.158538818359375,7.5408935546875e-07
0.160980224609375,7.696533203125e-07
0.163421630859375,7.8460693359375e-07
0.165863037109375,7.99560546875e-07
0.168304443359375,8.14208984375e-07
0.170745849609375,8.2977294921875e-07
0.173187255859375,8.453369140625e-07
0.175628662109375,8.5968017578125e-07
0.178070068359375,8.709716796875e-07
0.180511474609375,8.880615234375e-07
0.182952880859375,9.0087890625e-07
0.185394287109375,9.1766357421875e-07
0.187835693359375,9.2864990234375e-07
0.190277099609375,9.4482421875e-07
0.192718505859375,9.564208984375e-07
0.195159912109375,9.7137451171875e-07
0.197601318359375,9.844970703125e-07
0.200042724609375,9.991455078125e-07
0.202484130859375,1.01593017578125e-06
0.204925537109375,1.03057861328125e-06
0.207366943359375,1.04461669921875e-06
0.209808349609375,1.0595703125e-06
0.212249755859375,1.07391357421875e-06
0.214691162109375,1.0882568359375e-06
0.217132568359375,1.10260009765625e-06
0.219573974609375,1.119384765625e-06
0.222015380859375,1.13525390625e-06
0.224456787109375,1.14959716796875e-06
0.226898193359375,1.16485595703125e-06
0.229339599609375,1.1822509765625e-06
0.231781005859375,1.2005615234375e-06
0.234222412109375,1.2158203125e-06
0.236663818359375,1.23291015625e-06
0.239105224609375,1.251220703125e-06
0.241546630859375,1.270751953125e-06
0.243988037109375,1.29119873046875e-06
0.246429443359375,1.3104248046875e-06
0.248870849609375,1.329345703125e-06
0.251312255859375,1.34857177734375e-06
0.253753662109375,1.368408203125e-06
0.256195068359375,1.38580322265625e-06
0.258636474609375,1.40899658203125e-06
0.261077880859375,1.43218994140625e-06
0.263519287109375,1.45477294921875e-06
0.265960693359375,1.4752197265625e-06
0.268402099609375,1.500244140625e-06
0.270843505859375,1.52435302734375e-06
0.273284912109375,1.549072265625e-06
0.275726318359375,1.5740966796875e-06
0.278167724609375,1.59820556640625e-06
0.280609130859375,1.62628173828125e-06
0.283050537109375,1.6534423828125e-06
0.285491943359375,1.67938232421875e-06
0.287933349609375,1.7095947265625e-06
0.290374755859375,1.73492431640625e-06
0.292816162109375,1.7657470703125e-06
0.295257568359375,1.79351806640625e-06
0.297698974609375,1.82281494140625e-06
0.300140380859375,1.85638427734375e-06
0.302581787109375,1.88446044921875e-06
0.305023193359375,1.91864013671875e-06
0.307464599609375,1.94976806640625e-06
0.309906005859375,1.98150634765625e-06
0.312347412109375,2.01385498046875e-06
0.314788818359375,2.0501708984375e-06
0.317230224609375,2.08740234375e-06
0.319671630859375,2.12249755859375e-06
0.322113037109375,2.15850830078125e-06
0.324554443359375,2.19482421875e-06
0.326995849609375,2.23541259765625e-06
0.329437255859375,2.27294921875e-06
0.331878662109375,2.31353759765625e-06
0.334320068359375,2.349853515625e-06
0.336761474609375,2.39349365234375e-06
0.339202880859375,2.43408203125e-06
0.341644287109375,2.47650146484375e-06
0.344085693359375,2.51739501953125e-06
0.346527099609375,2.562255859375e-06
0.348968505859375,2.6055908203125e-06
0.351409912109375,2.65289306640625e-06
0.353851318359375,2.69866943359375e-06
0.356292724609375,2.74566650390625e-06
0.358734130859375,2.7935791015625e-06
0.361175537109375,2.84454345703125e-06
0.363616943359375,2.8948974609375e-06
0.366058349609375,2.94342041015625e-06
0.368499755859375,2.99774169921875e-06
0.370941162109375,3.04931640625e-06
0.373382568359375,3.10150146484375e-06
0.375823974609375,3.15673828125e-06
0.378265380859375,3.21502685546875e-06
0.380706787109375,3.26934814453125e-06
0.383148193359375,3.3251953125e-06
0.385589599609375,3.3868408203125e-06
0.388031005859375,3.4478759765625e-06
0.390472412109375,3.5076904296875e-06
0.392913818359375,3.572998046875e-06
0.395355224609375,3.6376953125e-06
0.397796630859375,3.7017822265625e-06
0.400238037109375,3.763427734375e-06
0.402679443359375,3.83331298828125e-06
0.405120849609375,3.90045166015625e-06
0.407562255859375,3.96728515625e-06
0.410003662109375,4.03961181640625e-06
0.412445068359375,4.105224609375e-06
0.414886474609375,4.1796875e-06
0.417327880859375,4.25537109375e-06
0.419769287109375,4.3304443359375e-06
0.422210693359375,4.40093994140625e-06
0.424652099609375,4.47723388671875e-06
0.427093505859375,4.5550537109375e-06
0.429534912109375,4.63104248046875e-06
0.431976318359375,4.7100830078125e-06
0.434417724609375,4.7930908203125e-06
0.436859130859375,4.874267578125e-06
0.439300537109375,4.95452880859375e-06
0.441741943359375,5.03997802734375e-06
0.444183349609375,5.12176513671875e-06
0.446624755859375,5.20721435546875e-06
0.449066162109375,5.29266357421875e-06
0.451507568359375,5.37933349609375e-06
0.453948974609375,5.462646484375e-06
0.456390380859375,5.55389404296875e-06
0.458831787109375,5.6463623046875e-06
0.461273193359375,5.73089599609375e-06
0.463714599609375,5.81695556640625e-06
0.466156005859375,5.91461181640625e-06
0.468597412109375,6.0052490234375e-06
0.471038818359375,6.103515625e-06
0.473480224609375,6.201171875e-06
0.475921630859375,6.292724609375e-06
0.478363037109375,6.3934326171875e-06
0.480804443359375,6.4910888671875e-06
0.483245849609375,6.5948486328125e-06
0.485687255859375,6.6864013671875e-06
0.488128662109375,6.787109375e-06
0.490570068359375,6.8878173828125e-06
0.493011474609375,6.988525390625e-06
0.495452880859375,7.1044921875e-06
0.497894287109375,7.2113037109375e-06
0.500335693359375,7.318115234375e-06
0.502777099609375,7.43408203125e-06
0.505218505859375,7.5469970703125e-06
0.507659912109375,7.672119140625e-06
0.510101318359375,7.7972412109375e-06
0.512542724609375,7.9254150390625e-06
0.514984130859375,8.0657958984375e-06
0.517425537109375,8.203125e-06
0.519866943359375,8.355712890625e-06
0.522308349609375,8.514404296875e-06
0.524749755859375,8.6761474609375e-06
0.527191162109375,8.8470458984375e-06
0.529632568359375,9.0301513671875e-06
0.532073974609375,9.2376708984375e-06
0.534515380859375,9.454345703125e-06
0.536956787109375,9.686279296875e-06
0.539398193359375,9.9212646484375e-06
0.541839599609375,1.01837158203125e-05
0.544281005859375,1.0467529296875e-05
0.546722412109375,1.07757568359375e-05
0.549163818359375,1.11114501953125e-05
0.551605224609375,1.14776611328125e-05
0.554046630859375,1.1865234375e-05
0.556488037109375,1.22955322265625e-05
0.558929443359375,1.27593994140625e-05
0.561370849609375,1.3250732421875e-05
0.563812255859375,1.3800048828125e-05
0.566253662109375,1.43951416015625e-05
0.568695068359375,1.5020751953125e-05
0.571136474609375,1.57318115234375e-05
0.573577880859375,1.6510009765625e-05
0.576019287109375,1.734619140625e-05
0.578460693359375,1.8243408203125e-05
0.580902099609375,1.922607421875e-05
0.583343505859375,2.03033447265625e-05
0.585784912109375,2.14752197265625e-05
0.588226318359375,2.276611328125e-05
0.590667724609375,2.41729736328125e-05
0.593109130859375,2.569580078125e-05
0.595550537109375,2.7349853515625e-05
